Transcript ID	Tissue	TPM
ENST00000491631.5	AR_AO	5.03
ENST00000472495.5	AR_AO	6.6
ENST00000490395.5	AR_AO	2.14
ENST00000399277.5	AR_AO	1.4
ENST00000486706.6	AR_AO	0.89
ENST00000476496.5	AR_AO	0.68
ENST00000475498.5	AR_AO	0.57
ENST00000460252.5	AR_AO	0.71
ENST00000585208.5	AR_AO	0.31
ENST00000497719.5	AR_AO	0.45
ENST00000497434.6	AR_AO	0.3
ENST00000399280.6	AR_AO	0
ENST00000460315.5	AR_AO	0
ENST00000584519.5	AR_AO	0
ENST00000486655.5	AR_AO	0
ENST00000579955.1	AR_AO	0
ENST00000495825.6	AR_AO	0
ENST00000474716.5	AR_AO	0
ENST00000491631.5	SKN_NEX	5.76
ENST00000472495.5	SKN_NEX	5.98
ENST00000490395.5	SKN_NEX	1.83
ENST00000399277.5	SKN_NEX	3.05
ENST00000486706.6	SKN_NEX	0.515
ENST00000476496.5	SKN_NEX	1.35
ENST00000475498.5	SKN_NEX	1.17
ENST00000460252.5	SKN_NEX	0
ENST00000585208.5	SKN_NEX	0.45
ENST00000497719.5	SKN_NEX	0.23
ENST00000497434.6	SKN_NEX	0.5
ENST00000399280.6	SKN_NEX	0
ENST00000460315.5	SKN_NEX	0
ENST00000584519.5	SKN_NEX	0
ENST00000486655.5	SKN_NEX	0
ENST00000579955.1	SKN_NEX	0
ENST00000495825.6	SKN_NEX	0
ENST00000474716.5	SKN_NEX	0
ENST00000491631.5	SKN_EX	5.97
ENST00000472495.5	SKN_EX	5.85
ENST00000490395.5	SKN_EX	1.88
ENST00000399277.5	SKN_EX	3.12
ENST00000486706.6	SKN_EX	0.43
ENST00000476496.5	SKN_EX	1.15
ENST00000475498.5	SKN_EX	1.07
ENST00000460252.5	SKN_EX	0
ENST00000585208.5	SKN_EX	0.45
ENST00000497719.5	SKN_EX	0.2
ENST00000497434.6	SKN_EX	0.45
ENST00000399280.6	SKN_EX	0
ENST00000460315.5	SKN_EX	0
ENST00000584519.5	SKN_EX	0
ENST00000486655.5	SKN_EX	0
ENST00000579955.1	SKN_EX	0
ENST00000495825.6	SKN_EX	0
ENST00000474716.5	SKN_EX	0
ENST00000491631.5	AD_COR	4.02
ENST00000472495.5	AD_COR	8.03
ENST00000490395.5	AD_COR	1.62
ENST00000399277.5	AD_COR	1.44
ENST00000486706.6	AD_COR	2.56
ENST00000476496.5	AD_COR	0.35
ENST00000475498.5	AD_COR	0.52
ENST00000460252.5	AD_COR	0.86
ENST00000585208.5	AD_COR	0.33
ENST00000497719.5	AD_COR	0.25
ENST00000497434.6	AD_COR	0.42
ENST00000399280.6	AD_COR	0
ENST00000460315.5	AD_COR	0
ENST00000584519.5	AD_COR	0.28
ENST00000486655.5	AD_COR	0.31
ENST00000579955.1	AD_COR	0
ENST00000495825.6	AD_COR	0
ENST00000474716.5	AD_COR	0
ENST00000491631.5	LIVER	3.75
ENST00000472495.5	LIVER	3.14
ENST00000490395.5	LIVER	1.11
ENST00000399277.5	LIVER	1.7
ENST00000486706.6	LIVER	0.38
ENST00000476496.5	LIVER	0.48
ENST00000475498.5	LIVER	0.455
ENST00000460252.5	LIVER	0.235
ENST00000585208.5	LIVER	0.115
ENST00000497719.5	LIVER	0
ENST00000497434.6	LIVER	0.35
ENST00000399280.6	LIVER	0
ENST00000460315.5	LIVER	0
ENST00000584519.5	LIVER	0
ENST00000486655.5	LIVER	0
ENST00000579955.1	LIVER	0
ENST00000495825.6	LIVER	0
ENST00000474716.5	LIVER	0
ENST00000491631.5	LUNG	7.11
ENST00000472495.5	LUNG	6.86
ENST00000490395.5	LUNG	2.47
ENST00000399277.5	LUNG	3.14
ENST00000486706.6	LUNG	1
ENST00000476496.5	LUNG	1.35
ENST00000475498.5	LUNG	1.24
ENST00000460252.5	LUNG	0.745
ENST00000585208.5	LUNG	0.45
ENST00000497719.5	LUNG	0.275
ENST00000497434.6	LUNG	0.59
ENST00000399280.6	LUNG	0
ENST00000460315.5	LUNG	0
ENST00000584519.5	LUNG	0
ENST00000486655.5	LUNG	0
ENST00000579955.1	LUNG	0
ENST00000495825.6	LUNG	0
ENST00000474716.5	LUNG	0
