Transcript ID	Tissue	TPM
ENST00000580404.5	BLOOD	5.65
ENST00000430334.7	BLOOD	3.84
ENST00000581448.5	BLOOD	0.71
ENST00000582035.1	BLOOD	1.55
ENST00000591580.1	BLOOD	0.58
ENST00000585506.1	BLOOD	0.68
ENST00000579197.5	BLOOD	0.84
ENST00000586084.1	BLOOD	0.06
ENST00000590991.1	BLOOD	0.1
ENST00000579131.5	BLOOD	0.12
ENST00000586562.5	BLOOD	0.19
ENST00000581932.2	BLOOD	0.22
ENST00000584420.1	BLOOD	0
ENST00000580205.1	BLOOD	0.07
ENST00000580404.5	LUNG	8.75
ENST00000430334.7	LUNG	7.88
ENST00000581448.5	LUNG	1.69
ENST00000582035.1	LUNG	1.74
ENST00000591580.1	LUNG	0.99
ENST00000585506.1	LUNG	1.08
ENST00000579197.5	LUNG	0.37
ENST00000586084.1	LUNG	0.48
ENST00000590991.1	LUNG	0.39
ENST00000579131.5	LUNG	0.25
ENST00000586562.5	LUNG	0.25
ENST00000581932.2	LUNG	0.32
ENST00000584420.1	LUNG	0.245
ENST00000580205.1	LUNG	0.185
