Transcript ID	Tissue	TPM
ENST00000394975.2	BLOOD	15
ENST00000354895.4	BLOOD	4.06
ENST00000319788.11	BLOOD	0.35
ENST00000300851.10	BLOOD	0.4
ENST00000472468.1	BLOOD	0.1
ENST00000394971.7	BLOOD	0
ENST00000394975.2	LIVER	136
ENST00000354895.4	LIVER	21.7
ENST00000319788.11	LIVER	3.76
ENST00000300851.10	LIVER	11
ENST00000472468.1	LIVER	1.46
ENST00000394971.7	LIVER	0.445
ENST00000394975.2	SKN_EX	58
ENST00000354895.4	SKN_EX	8.63
ENST00000319788.11	SKN_EX	1.71
ENST00000300851.10	SKN_EX	1.18
ENST00000472468.1	SKN_EX	0.12
ENST00000394971.7	SKN_EX	0
ENST00000394975.2	SKN_NEX	55.6
ENST00000354895.4	SKN_NEX	8.76
ENST00000319788.11	SKN_NEX	1.85
ENST00000300851.10	SKN_NEX	1.36
ENST00000472468.1	SKN_NEX	0.24
ENST00000394971.7	SKN_NEX	0
